filename,width,height,class,xmin,ymin,xmax,ymax
pic_2019-12-21_15_00_17_273032_000001.jpg,1920,1080,collar,725,838,755,798
pic_2019-12-21_15_00_17_273032_000001.jpg,1920,1080,collar,717,887,694,849
pic_2019-12-21_15_00_17_273032_000001.jpg,1920,1080,collar,334,854,370,805
pic_2019-12-21_15_00_17_273032_000001.jpg,1920,1080,collar,334,889,291,864
pic_2019-12-21_15_00_17_273032_000001.jpg,1920,1080,collar,722,788,682,755
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,730,932,704,881
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1734,899,1782,876
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1729,790,1779,760
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1719,876,1703,823
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1100,770,1070,722
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1100,821,1130,780
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1095,876,1064,826
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1095,925,1133,894
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,712,831,748,788
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,722,783,689,750
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,377,833,408,790
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,372,874,347,836
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,365,767,339,747
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1404,762,1376,732
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1404,808,1435,775
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1402,843,1361,818
pic_2019-12-21_15_03_40_250498_000841.jpg,1920,1080,collar,1409,889,1452,879
pic_2020-02-01_16_32_02_177759_000000.jpg,3280,2464,collar,1051,1530,1097,1415
pic_2020-02-01_16_32_02_177759_000000.jpg,3280,2464,collar,1051,1600,964,1519
pic_2020-02-01_16_32_02_177759_000000.jpg,3280,2464,collar,1062,1733,1137,1634
pic_2020-02-01_16_32_02_177759_000000.jpg,3280,2464,collar,2820,1444,2890,1380
pic_2020-02-01_16_32_02_177759_000000.jpg,3280,2464,collar,2815,1513,2763,1432
pic_2020-02-01_16_32_02_177759_000000.jpg,3280,2464,collar,2815,1600,2872,1530
pic_2020-02-17T17_04_29_479Z_000285.jpg,3280,2464,collar,238,1738,349,1583
pic_2020-02-17T17_04_29_479Z_000285.jpg,3280,2464,collar,211,1544,83,1450
pic_2020-02-17T17_04_29_479Z_000287.jpg,3280,2464,collar,222,1821,288,1693
pic_2020-02-17T17_04_29_479Z_000287.jpg,3280,2464,collar,199,1633,72,1505
pic_2020-02-17T17_04_29_479Z_000287.jpg,3280,2464,collar,188,1511,283,1367
pic_2020-02-17T17_04_29_479Z_000288.jpg,3280,2464,collar,227,1815,404,1644
pic_2020-02-17T17_04_29_479Z_000288.jpg,3280,2464,collar,222,1644,56,1516
pic_2020-02-17T17_04_29_479Z_000288.jpg,3280,2464,collar,188,1538,316,1389
pic_2020-02-17T17_04_29_479Z_000289.jpg,3280,2464,collar,227,1898,338,1727
pic_2020-02-17T17_04_29_479Z_000289.jpg,3280,2464,collar,205,1693,61,1572
pic_2020-02-17T17_04_29_479Z_000289.jpg,3280,2464,collar,177,1572,294,1433
pic_2020-02-25T12_04_57_725Z_000002.jpg,3280,2464,collar,1479,1555,1368,1345
pic_2020-02-25T12_04_57_725Z_000002.jpg,3280,2464,collar,1479,1350,1634,1167
pic_2020-02-25T12_04_57_725Z_000002.jpg,3280,2464,collar,1473,1173,1351,963
pic_2020-02-25T12_04_57_725Z_000002.jpg,3280,2464,collar,1487,589,1394,406
pic_2020-02-25T12_04_57_725Z_000039.jpg,3280,2464,collar,1425,1517,1584,1238
pic_2020-02-25T12_04_57_725Z_000039.jpg,3280,2464,collar,1411,1783,1242,1517
pic_2020-02-25T12_04_57_725Z_000112.jpg,3280,2464,collar,1628,1541,1463,1307
pic_2020-02-25T12_04_57_725Z_000112.jpg,3280,2464,collar,1628,1307,1766,1062
pic_2020-02-25T12_04_57_725Z_000143.jpg,3280,2464,collar,1689,2175,1589,1992
pic_2020-02-25T12_04_57_725Z_000143.jpg,3280,2464,collar,1700,2004,1800,1832
pic_2020-02-25T12_04_57_725Z_000143.jpg,3280,2464,collar,1706,1799,1562,1633
pic_2020-02-25T12_04_57_725Z_000143.jpg,3280,2464,collar,1715,1265,1597,1082
pic_2020-02-25T12_04_57_725Z_000143.jpg,3280,2464,collar,1728,1006,1842,758
pic_2020-02-25T12_04_57_725Z_000228.jpg,3280,2464,collar,1844,2303,1761,2136
pic_2020-02-25T12_04_57_725Z_000228.jpg,3280,2464,collar,1850,2131,1960,1965
pic_2020-02-25T12_04_57_725Z_000228.jpg,3280,2464,collar,1866,1948,1766,1815
